"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10878","User can search for a product","","Thu Jul 24 12:11:40 CDT 2025","passed","Thu Jul 24 12:11:51 CDT 2025","","","",""
"","23922","User can filter secondary deals by ""want to sell"" option","","Thu Jul 24 12:11:16 CDT 2025","passed","Thu Jul 24 12:11:40 CDT 2025","","","",""
