"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Test Scenarios for Search functionality","1","0","","0"
"0","","0","Filter Secondary deals","1","0","","0"
